id;naziv;racun;telefon;pib;pdv;odgovorno_lice_narucioca;email;adresa
1;Future;Investor Gorgeous Handcrafted;plum Re-contextualized platforms;Pizza Dominican contingency;Soft multimedia copy;e-markets Awesome;Christop_Cole@hotmail.com;drive
2;Falls Proactive;cross-media Checking;bandwidth Harbors;driver withdrawal;Concrete;online Honduras;Dora_Schumm@yahoo.com;iterate deposit
3;View Kansas;Open-architected;maroon Mexico;firmware d'Ivoire Unions;back-end SCSI;quantify Beauty Marketing;Richmond.Bins45@yahoo.com;Cameroon Clothing
4;Buckinghamshire;Unbranded PNG;Plaza Investment Intelligent;Reverse-engineered Wooden;Intelligent Rial;orange Cambridgeshire;Easter.Stracke@yahoo.com;Games dedicated compress
5;Principal Architect;cross-platform;users Corporate;connect;connecting;Sausages;Dusty65@hotmail.com;connecting
6;mission-critical;deposit index GB;Salad;Branch Concrete Steel;invoice;systems;Claudie98@gmail.com;methodology
7;overriding Sierra;solutions up;flexibility Chicken Executive;Fiji Generic;Stravenue strategy Frozen;utilize PCI;Cristal32@yahoo.com;multi-byte Progressive Florida
8;panel Massachusetts Checking;mobile Fresh Honduras;multi-byte Mouse;Tools invoice Cordoba;FTP indexing;Bedfordshire;Dejon1@hotmail.com;transmit Response Strategist
9;calculate client-driven forecast;Garden Designer;Naira silver;success zero Account;Towels dot-com;Toys Web;Kristian_Schulist80@hotmail.com;Synergized maroon CSS
10;Web;Soap cross-platform;Persistent;Ergonomic;Senior Keys;Wisconsin Washington;Ashly_Reynolds23@yahoo.com;violet York withdrawal
