id;sifra_postupka;broj_partije;atc;inn;farmaceutski_oblik_lijeka;jacina_lijeka;jedinica_mjere;procijenjena_vrijednost;pakovanje;trazena_kolicina
1;17231;27313;Cape;Loan Saudi Borders;model leverage sensor;protocol Paraguay;Tools bluetooth system;74695;scalable frame Rubber;80632
2;41415;28660;Table Minnesota;digital;vortals tan Garden;metrics Congo pink;distributed Marketing Ball;59904;aggregate;82717
3;82512;69725;pink 24/7 Texas;schemas;Ergonomic;viral;withdrawal override Manager;4368;Generic Practical cyan;15807
4;36738;29295;Frozen;synthesize Ergonomic payment;Tasty;user-facing;Pennsylvania architectures;67215;Won Dynamic;79142
5;908;44431;Senior;solutions;Manager orchid mobile;Tuna vortals;deposit Man Pants;6898;Metal copying;62066
6;88175;7070;Republic Facilitator;revolutionary Salad;plug-and-play;Seamless parse;Soft workforce demand-driven;42062;Intranet Handcrafted Mills;36389
7;56446;47394;Orchestrator;zero Bedfordshire withdrawal;non-volatile Dynamic Fish;granular;Nebraska Investment;53880;forecast;37862
8;58277;41517;Investment;quantifying ROI;deposit Card Account;whiteboard Supervisor Wallis;Salad;72867;scale;88445
9;58370;79566;AI;optimizing;Checking SQL Pants;back-end;input Associate Designer;23186;Lodge;90022
10;17887;8281;Cambridgeshire definition;Analyst matrix Unbranded;Yen architecture;synthesize Road Rican;Central Cedi;90348;invoice invoice Vanuatu;12359
