id;sifra_postupka;sifra_ponude;atc;inn;zasticeni_naziv;farmaceutski_oblik_lijeka;jacina_lijeka;pakovanje;trazena_kolicina;procijenjena_vrijednost;rok_isporuke;naziv_ponudjaca;naziv_proizvodjaca
1;58764;8457;Technician;digital mobile Car;overriding;Granite;parse;matrix encoding;54010;13747;82504;SMTP Hat Dakota;multi-state Home
2;47257;91539;bottom-line hack;Rustic Home;Orchestrator;transmitting;Intelligent deposit Hawaii;open-source;45544;7626;47180;array SAS;transmitter
3;12772;4220;Ways Outdoors Alley;Drives Bedfordshire Customer;connecting;Dam Kids Associate;value-added Handmade;compress;31785;30017;88108;Movies;Buckinghamshire infrastructures
4;22047;44107;Metal Hat gold;Chair fuchsia Dong;Iranian Bedfordshire;Mills Table Intelligent;Iraqi;seize;36387;46364;94323;alarm deposit;Massachusetts Egypt
5;80036;59760;digital Unbranded transmit;Shoes withdrawal;Incredible Alaska Inverse;model end-to-end Developer;improvement Metal Designer;Carolina;66823;72204;45977;leading Jordanian yellow;Franc Right-sized
6;60189;56145;Gateway embrace;Inverse;azure;Bacon cultivate;Island panel;Steel Liaison Malaysian;8335;15355;93379;experiences incremental;Harbors grow Towels
7;96754;27497;Accountability bluetooth Clothing;Vatu Wooden Forest;solid;compressing Usability;Licensed redundant state;Unbranded Car;41114;67567;47493;blockchains wireless user;engineer Principal
8;74481;16422;technologies;Berkshire Buckinghamshire;partnerships array needs-based;grey open-source;Sleek database;cross-platform;52077;23118;68372;withdrawal Specialist;Loan Sports
9;80075;14899;killer;Account Extended Streets;Streets;Right-sized AI synergize;Checking;Fresh;58565;23109;66664;synthesize El Tanzanian;clicks-and-mortar parse cross-platform
10;86924;86028;incremental Tunnel Games;bandwidth data-warehouse Morocco;Cambridgeshire;Kids;Cambridgeshire compressing;Coordinator;85567;49316;68301;deposit;web-enabled
