id;broj_ugovora;broj_tendera;broj_odluke;datum_ugovora;datum_ponude;datum_odluke;predmet_ugovora;naziv;telefon;naziv_ponudjaca;broj_datum_tenderske_dokumntacije;broj_datum_odluke;broj_datum_ponude;iznos_ugovora_bez_pdf;sifra_postupka;sifra_ponude;odgovorno_lice;odgovorno_lice_narucioca;adresa;adresa_ponudjaca;banka_racun;racun;pib;pdv;datum_objave;vrsta_postupka
1;Vermont Roads;protocol Global Kids;Utah quantify Buckinghamshire;2021-09-07;2021-09-06;2021-09-07;Kyat communities;teal;Dynamic Global;collaboration;Berkshire;Togo invoice Buckinghamshire;Cotton Gorgeous Polynesia;72321;57530;57634;leading-edge Franc;Senior Dynamic;deposit Home hacking;world-class Supervisor;support frame Kansas;Chief viral;cross-platform Dollar;parsing;2021-09-07;system Ethiopian neural
2;transform Shoes Borders;Loan;access SQL;2021-09-07;2021-09-06;2021-09-07;fault-tolerant RAM;Wisconsin Rand;Operative Refined Kids;Iowa;markets challenge;navigate compressing FTP;Mexico SDD;22172;48087;90181;engineer Integration;Card Manager;primary maroon;Buckinghamshire Metal;cyan multi-byte;Berkshire;Electronics deposit Baby;Distributed;2021-09-06;B2C
3;withdrawal port Franc;copy;SDD Investment;2021-09-06;2021-09-07;2021-09-07;Kuna;Buckinghamshire supply-chains;bus;primary gold e-tailers;Bike Ngultrum;Shirt Beauty connecting;Card Sports Ball;53142;41852;86260;Tuna;networks emulation;Cyprus Czech Associate;Auto invoice Ergonomic;Market Money;Chicken European Orchestrator;violet;Brand ability;2021-09-07;Kip Product Iceland
4;hybrid Tuna;info-mediaries Interactions;Front-line;2021-09-06;2021-09-07;2021-09-07;Berkshire;fuchsia Buckinghamshire;solution Checking Identity;hacking Handmade Rwanda;Designer Specialist Expressway;Mouse;Buckinghamshire face transmitting;68961;7709;53072;Plastic brand;Engineer;Mouse;Park overriding generate;Refined;Representative;sexy;customized Fresh transmit;2021-09-07;invoice AI Global
5;open-source;purple;Chief sticky attitude;2021-09-06;2021-09-07;2021-09-07;calculate;Roads Rubber;Cheese matrices Applications;Handmade;Unit deploy;mindshare Small Cambridgeshire;Checking Future Shirt;46557;17132;31934;Field calculate Indiana;Producer;supply-chains;Analyst Toys;Unit payment Unbranded;Gorgeous reinvent web-readiness;global recontextualize;Forint Gorgeous red;2021-09-07;Global
6;Computers;HTTP payment;backing;2021-09-07;2021-09-06;2021-09-06;SMS Buckinghamshire;Qatari Object-based;maroon black;Cotton;payment niches;Tuna;matrix;37528;44603;68127;Florida Arizona purple;incremental;Devolved;Movies models hacking;Fresh withdrawal Chair;input;turquoise;copying;2021-09-06;Bedfordshire Response
7;compress Rustic;Loan HTTP 24/7;compelling Executive synthesize;2021-09-06;2021-09-07;2021-09-07;Berkshire Maine;architect Tasty;neural-net;Outdoors transmitting generating;Shilling Quetzal Plastic;azure tertiary lavender;Small context-sensitive haptic;66478;68024;57957;firewall Configuration;SCSI;Pants Associate projection;Future;Focused;Borders Corners;Bedfordshire extend;generating Garden;2021-09-06;ADP
8;exploit Robust standardization;GB;Orchestrator Corporate;2021-09-07;2021-09-07;2021-09-07;invoice;Account cross-platform;invoice transmitter;yellow Savings;Buckinghamshire web-enabled;deliverables collaborative;integrated Multi-lateral;5130;46987;72999;well-modulated benchmark;deposit National;Saint;Berkshire transform;Product Avon Account;Chile index;explicit discrete;Awesome;2021-09-07;Berkshire Argentina auxiliary
9;Designer Cheese Auto;Tugrik;index;2021-09-07;2021-09-06;2021-09-07;interfaces incremental;National content;open-source Bedfordshire Singapore;Account;Leu Automotive Monitored;Monitored;Plastic quantify user-centric;65680;36543;98105;Plastic;Oklahoma;Lesotho Home;Account;applications Soft Future;Maryland Engineer Buckinghamshire;Sausages Beauty;software Points;2021-09-07;executive transmit
10;pink Marketing compress;Group yellow copy;hack;2021-09-07;2021-09-06;2021-09-06;ADP;Handcrafted;user-facing Bedfordshire;Account Devolved;Small McDonald circuit;leverage Cotton Avon;Ranch Home;84916;40735;59123;Chief Practical Spring;Ergonomic Pre-emptive Functionality;Savings;Specialist;Plastic bypass Dynamic;Human;action-items;Unbranded Fresh interface;2021-09-07;Monitored
